assets,profitable_assets,median_return_pct,median_cagr_pct,median_mdd_pct,median_profit_factor,median_sharpe,total_trades,total_liquidations,entry_n,exit_n,ema_n,leverage,part,eligible
10,9,340.5045461542526,32.604098483952384,-47.57265492711157,1.4819859980987564,0.9749089603224819,2390,0,120,30,400,0.65,train,True
10,9,378.76386993867163,31.353605568499965,-47.573518080821785,1.3773737791768736,0.9574486160741199,3078,0,80,30,400,0.65,train,True
10,10,358.8873957069494,28.461857741416274,-47.59250995249529,1.5517982222801425,1.0077023373179896,1463,0,200,30,200,0.65,train,True
10,10,355.5177459604572,28.53289656964404,-47.75508115497979,1.5490588212436576,1.0111538689981487,1471,0,200,30,300,0.65,train,True
10,10,534.314316223496,37.771451133879886,-48.21100771530254,1.4612907151321406,1.0549445861004623,3163,0,80,40,400,0.65,train,True
10,9,532.6531099438771,37.73994735943532,-48.283128552534336,1.4349440888719134,1.0527800537124694,3438,0,80,40,300,0.65,train,True
10,10,669.9420127378132,41.62583838404261,-48.35455915780909,1.43647569076054,1.0576390987388382,3866,0,80,60,300,0.65,train,True
10,10,761.4471184577394,41.32585010672042,-48.35485882621054,1.5827395007987668,1.1479564248857828,2639,0,120,60,400,0.65,train,True
10,10,533.1493120419132,37.98541596359443,-48.37875538785954,1.5514625526174748,1.1327332635617924,2441,0,120,40,400,0.65,train,True
10,10,580.214092489903,35.375361135694874,-48.62956203949027,1.6051134202039594,1.11940711118018,1874,0,160,40,300,0.65,train,True
10,9,337.259322975123,28.60632734078039,-48.73542100060295,1.4120286647085438,0.9440336486356166,2352,0,120,30,200,0.65,train,True
10,9,360.62201070633,29.937472815746467,-48.77586078696777,1.4438354760371643,0.9528568033170295,2403,0,120,30,300,0.65,train,True
10,10,407.6688220020326,36.64862347667156,-48.891983963477855,1.4175356711445448,0.9735092241854384,2460,0,160,30,100,0.8,train,True
10,9,343.00572638856875,31.105340449244935,-49.026248262749604,1.3469611728995934,0.9726484863231892,2997,0,120,30,100,0.65,train,True
10,10,701.7909796336656,39.64154012094207,-49.08317152677543,1.5885332496872258,1.0463960623574569,1959,0,200,60,200,0.65,train,True
10,10,676.5510417563048,41.702085695088385,-49.136833545044524,1.3972136576929879,1.1204414836647545,4009,0,120,80,200,0.65,train,True
10,9,339.2340519415483,28.37781507021343,-49.26514001704621,1.2912842555849395,0.891909356284301,6795,0,80,60,100,0.5,train,True
10,10,564.7989980935816,39.43169030514596,-49.37294134417589,1.445714831842956,0.9794300477730875,3772,0,200,60,100,0.65,train,True
10,9,555.1799722993809,38.795935411046926,-49.45194361931836,1.3839002122602313,0.99791118222917,3891,0,80,40,200,0.65,train,True
10,10,1094.2210132471955,52.2263207799263,-49.74327776113411,1.368564008688762,1.0381974159937832,4638,0,200,80,100,0.8,train,True
10,10,1451.8154324593438,59.09817960974733,-49.86931475300592,1.5333330645650631,1.0838549534263102,2351,0,160,80,400,0.8,train,True
10,9,530.4204934598439,34.22988839191192,-49.92038517271879,1.4624780613846213,1.1038996170698256,2501,0,120,40,300,0.65,train,True
10,10,825.7816872808037,46.23326943723433,-49.974558537988784,1.5541003210874624,1.1322028126844186,3360,0,120,80,300,0.65,train,True
10,9,778.6877477204682,45.51480580654632,-50.26273412675049,1.301728816541411,1.0933112521714168,6121,0,120,80,100,0.65,train,True
10,10,1246.8872327864867,55.62077290466526,-50.27213920297574,1.3536612335365907,1.1188296038899292,5169,0,160,80,100,0.8,train,True
10,10,532.6237404101955,38.22980421880652,-50.621090420926365,1.5255289487667723,1.0636031036038776,1903,0,160,30,400,0.8,train,True
10,10,982.6722159066117,48.176360414417346,-50.660751844264894,1.546517191626657,0.983875063678796,1935,0,200,80,400,0.8,train,True
10,10,1076.152991453384,50.2906469722178,-50.73250287004767,1.5123264082296162,1.0358492914072586,2101,0,200,80,300,0.8,train,True
10,10,692.6525135354525,38.602379449006804,-50.787300359547174,1.453579615533879,1.1453393219002717,3235,0,120,60,200,0.65,train,True
10,10,1118.4626011135379,50.93692178916114,-50.801744308101846,1.5920769046838736,1.104622103212562,2118,0,160,60,300,0.8,train,True
10,10,662.8040116462698,39.6791947414215,-51.02050796998051,1.567245967572163,1.1408108270038346,2822,0,120,60,300,0.65,train,True
10,9,423.9792992510928,36.59474904515952,-51.02511455021862,1.347152198933169,1.040942663934218,3776,0,120,40,100,0.65,train,True
10,10,1112.4125206470603,50.60623764395227,-51.05471210458197,1.5637291661403017,1.095148965380616,2048,0,160,60,400,0.8,train,True
10,10,541.566771783786,35.35448338333378,-51.07645346290673,1.5020947115779237,1.0246491939652946,1834,0,160,30,300,0.8,train,True
10,9,559.6166643444483,34.610498808527744,-51.22258713193965,1.4425306585225424,1.1105391711799186,2566,0,120,40,200,0.65,train,True
10,10,686.9740408324163,40.556608544352244,-51.448475446171614,1.4688265622097818,1.034815423669448,3419,0,80,60,400,0.65,train,True
