breadth_min,breadth_strong,breadth_ultra,base_total,strong_total,ultra_total,p1,p2,p3,trail1,trail2,trail3,edge,ultra_ema,cooldown,max_total,start,end,return_pct,multiple,mdd_pct,liquidated
0.5,0.7,0.8,0.9,1.2,1.5,1.1,1.5,2.0,0.14,0.11,0.09,0.035,1.1,24,2.5,2020-12-16 00:00:00+00:00,2022-12-16 00:00:00+00:00,61.3721862103237,1.613721862103237,-23.718976502817867,0
0.5,0.7,0.8,0.9,1.2,1.5,1.1,1.5,2.0,0.14,0.11,0.09,0.035,1.1,24,2.5,2021-06-14 00:00:00+00:00,2023-06-14 00:00:00+00:00,113.92469843362032,2.139246984336203,-33.87084816332071,0
0.5,0.7,0.8,0.9,1.2,1.5,1.1,1.5,2.0,0.14,0.11,0.09,0.035,1.1,24,2.5,2021-12-11 00:00:00+00:00,2023-12-11 00:00:00+00:00,-15.682838459992364,0.8431716154000763,-20.075443531418546,0
0.5,0.7,0.8,0.9,1.2,1.5,1.1,1.5,2.0,0.14,0.11,0.09,0.035,1.1,24,2.5,2022-06-09 00:00:00+00:00,2024-06-08 00:00:00+00:00,-16.6320938402604,0.833679061597396,-20.200784170270445,0
0.5,0.7,0.8,0.9,1.2,1.5,1.1,1.5,2.0,0.14,0.11,0.09,0.035,1.1,24,2.5,2022-12-06 00:00:00+00:00,2024-12-05 00:00:00+00:00,40.63277672041386,1.4063277672041385,-21.642787518293495,0
0.5,0.7,0.8,0.9,1.2,1.5,1.1,1.5,2.0,0.14,0.11,0.09,0.035,1.1,24,2.5,2023-06-04 00:00:00+00:00,2025-06-03 00:00:00+00:00,-19.3584392426148,0.806415607573852,-22.747136396522205,0
0.5,0.7,0.8,0.9,1.2,1.5,1.1,1.5,2.0,0.14,0.11,0.09,0.035,1.1,24,2.5,2023-12-01 00:00:00+00:00,2025-11-30 00:00:00+00:00,111.84181270638037,2.1184181270638036,-20.511812405361606,0
0.5,0.7,0.8,0.9,1.2,1.5,1.1,1.5,2.0,0.14,0.11,0.09,0.035,1.1,24,2.5,2024-05-29 00:00:00+00:00,2026-05-29 00:00:00+00:00,-15.54676992276731,0.8445323007723269,-20.199884576958695,0
0.5,0.7,0.8,0.9,1.2,1.5,1.1,1.5,2.0,0.18,0.14,0.1,0.035,1.1,24,2.5,2018-01-01 00:00:00+00:00,2020-01-01 00:00:00+00:00,117.61123224110679,2.176112322411068,-21.496995146339838,0
0.5,0.7,0.8,0.9,1.2,1.5,1.1,1.5,2.0,0.18,0.14,0.1,0.035,1.1,24,2.5,2018-06-30 00:00:00+00:00,2020-06-29 00:00:00+00:00,1.201402625253034,1.0120140262525303,-20.1906762755694,0
0.5,0.7,0.8,0.9,1.2,1.5,1.1,1.5,2.0,0.18,0.14,0.1,0.035,1.1,24,2.5,2018-12-27 00:00:00+00:00,2020-12-26 00:00:00+00:00,-20.69792776775636,0.7930207223224364,-20.69792776775636,0
0.5,0.7,0.8,0.9,1.2,1.5,1.1,1.5,2.0,0.18,0.14,0.1,0.035,1.1,24,2.5,2019-06-25 00:00:00+00:00,2021-06-24 00:00:00+00:00,9.069363560670517,1.0906936356067052,-20.639538131558233,0
